書名,作者,出版社,出版日期,ISBN/EAN,product_id
"納瓦爾寶典: 從白手起家到財務自由, 矽谷傳奇創投家的投資哲學與人生智慧 (附限量納瓦爾最新智慧語錄拉頁)",艾瑞克．喬根森,,2025-02-05,4717211037577,10012030392682827161003
日花閃爍: 台語的美麗詞彙&一百首詩,温若喬,,2026-01-06,9786264199926,10012010632683056251008
在小山和小山之間: 故事大爆炸年度首獎之作,李停,,2026-01-26,9786267721834,10012122082683075462003
別再騙自己: 把日子過得更清醒的101個提示,西蒙．吉勒姆,,2025-09-05,9786263587564,10012014082682972728007
"99%的人輸在不會表達: 話說對了, 事就成了。公司裡該怎麼說話? 麻煩就沒了。",李勁,,2018-06-28,9789579164337,1001191562686239
"Rewire-神經可塑性: 用神經科學突破行為模式迴圈, 終結焦慮、恐慌和憂鬱, 實現最佳的心理健康",妮可．維諾拉,,2024-06-01,9786263106659,10012013192682577301001
少年臺灣史 (2019年增訂版),周婉窈,,2019-09-20,9789862942420,1003119012795098
"全新! 新制多益TOEIC單字大全: 備考多益唯一推薦權威單字書! 不論題型如何變化, 內容持續更新, 常考字彙表達完全掌握, 準確度最高! (附QR碼)",David Cho,,2022-08-04,9789864542284,1001260442682214680001
"這僅有一次的人生, 一定要讀蘇東坡: 不管你遇到了什麼, 一句蘇東坡就能療癒。",費勇,,2023-01-30,9786267192870,1001191562682321418009
"刪掉容易, 忘掉很難",林思齊,,2026-01-20,9786264441049,10012010632683071128002
惡靈剋星 6 (首刷限定版),新翔子,,2026-02-05,9786260263294,10012150962683074431000
海邊的房間,黃麗群,,2024-07-30,9786263965126,10012010632682600065009
"納瓦爾寶典: 從白手起家到財務自由, 矽谷傳奇創投家的投資哲學與人生智慧",艾瑞克．喬根森,,2024-01-04,9789863989493,10012030392682502174007
SAKAMOTO DAYS坂本日常 24 (首刷限定版),鈴木祐斗,,2026-03-02,9786260267087,10012150962683087745002
原子習慣: 細微改變帶來巨大成就的實證法則,詹姆斯．克利爾,,2019-06-01,9789861755267,1001112702764163
擁有過 就好: 告別青春的最後一封情書,黃山料,,2025-12-01,9786263587922,10012014082683030027001
SPY X FAMILY間諜家家酒 16 (首刷限定版),遠藤達哉,,2026-02-12,9786260267070,10012150962683072484008
"世界盡頭的咖啡館: 這一生, 我為何而存在?",約翰．史崔勒基,,2025-02-27,9786263585959,10012014082682834236008
"從破產人生逆襲到財務自由: 你一定要懂的財商真相, 36個翻轉心法把人生找回來",李文森,,2026-02-10,9786264442312,10012010632683083731009
蛤蟆先生去看心理師 (附蛤蟆先生勇氣藏書卡組),羅伯．狄保德,,2022-01-26,9789576587399,1001119732682122365007
王思迅人生講座套書: 易經白話講座+金剛經白話講座 (2冊合售),王思迅,,2025-09-10,9786267752388,10012117772682988580002
鏈鋸人 22 (首刷限定版),藤本樹,,2026-02-06,9786260265595,10012150962683070404008
