書名,作者,出版社,出版日期,ISBN,是否有電子書,URL
明亮燦爛的你【Netflix話題章魚故事在這裡！！】,Shelby Van Pelt,寂寞 訂閱出版社新書快訊 新功能介紹,2024/02/01,9786269754182,有電子書,https://www.books.com.tw/products/0010980263
會員登入,,,,,無電子書,https://www.books.com.tw/products/0011044252
財商：不費力才會贏,,時報出版 訂閱出版社新書快訊 新功能介紹,2026/01/20,9786264440547,無電子書,https://www.books.com.tw/products/0011041784
幼兒園教保活動課程大綱,教育部,教育部國民及學前教育署 訂閱出版社新書快訊 新功能介紹,2024/09/01,9789860540376,無電子書,https://www.books.com.tw/products/0010780550
刪掉容易，忘掉很難,,時報出版 訂閱出版社新書快訊 新功能介紹,2026/01/20,9786264441049,有電子書,https://www.books.com.tw/products/0011041796
原子習慣WORKBOOK【官方版‧附練習別冊】,,方智 訂閱出版社新書快訊 新功能介紹,2026/03/05,9789861758824,有電子書,https://www.books.com.tw/products/0011045903
一個普通人如何守住財富與人生：畢德歐夫帶你搞懂資產配置、老後風險與代間傳承,,先覺 訂閱出版社新書快訊 新功能介紹,2026/03/01,9789861345666,有電子書,https://www.books.com.tw/products/0011045886
我們不可能成為戀人！絕對不行。 (※似乎可行？)短篇集 全,みかみてれん,東立 訂閱出版社新書快訊 新功能介紹,2026/02/12,9786260265700,無電子書,https://www.books.com.tw/products/0011042323
全新！新制多益 TOEIC 單字大全 ：備考多益唯一推薦權威單字書！不論題型如何變化，內容持續更新，常考字彙表達完全掌握，準確度最高！（附音檔下載QR碼）,,國際學村 訂閱出版社新書快訊 新功能介紹,2022/08/04,9789864542284,無電子書,https://www.books.com.tw/products/0010929979
學校不會教的人生課：怡慧老師的實踐成長學【博客來獨家書衣版】,,平安文化 訂閱出版社新書快訊 新功能介紹,2026/03/02,9786267859070,有電子書,https://www.books.com.tw/products/0011045803
會員登入,,,,,無電子書,https://www.books.com.tw/products/0011041168
葬送的芙莉蓮 15,山田 鐘人 (原作)／阿部 司 (作畫),東立 訂閱出版社新書快訊 新功能介紹,2026/01/29,9786260267278,無電子書,https://www.books.com.tw/products/0011041766
我可能錯了：森林智者的最後一堂人生課,,先覺 訂閱出版社新書快訊 新功能介紹,2023/02/01,9789861344454,有電子書,https://www.books.com.tw/products/0010947051
會員登入,,,,,無電子書,https://www.books.com.tw/products/0011044671
青春之箱 (首刷限定版) 22,三浦糀,東立 訂閱出版社新書快訊 新功能介紹,2026/02/24,9786260264864,無電子書,https://www.books.com.tw/products/0011043050
紀律長贏：揭開清大校務基金操盤人風險控管與穩定獲利的策略,,天下文化 訂閱出版社新書快訊 新功能介紹,2026/01/30,9786264177443,有電子書,https://www.books.com.tw/products/0011042966
會員登入,,,,,無電子書,https://www.books.com.tw/products/0011044670
會員登入,,,,,無電子書,https://www.books.com.tw/products/0011041166
會員登入,,,,,無電子書,https://www.books.com.tw/products/0011041167
日本語GOGOGO 1 練習帳 增訂版,財團法人語言訓練測驗中心,豪風 訂閱出版社新書快訊 新功能介紹,2022/03/30,9786269542109,無電子書,https://www.books.com.tw/products/0010920454
特殊傳說III【2026珍藏特裝組】,護玄,蓋亞 訂閱出版社新書快訊 新功能介紹,2026/02/11,,有電子書,https://www.books.com.tw/products/0011044492
漫畫易經【全新書衣版】,周春才,晶冠出版社 訂閱出版社新書快訊 新功能介紹,2024/07/02,9786269725496,無電子書,https://www.books.com.tw/products/0010993426
持續買進：資料科學家的投資終極解答，存錢及致富的實證方法,Nick Maggiulli,商業周刊 訂閱出版社新書快訊 新功能介紹,2023/05/30,9786267252710,有電子書,https://www.books.com.tw/products/0010957881
非暴力溝通：愛的語言(全新修訂版),,光啟文化 訂閱出版社新書快訊 新功能介紹,2019/08/01,9789575469078,有電子書,https://www.books.com.tw/products/0010831754
槓桿ETF投資法：用50正2輕鬆打敗0050＆0056，提早退休,,一心文化 訂閱出版社新書快訊 新功能介紹,2023/04/12,9786269612130,有電子書,https://www.books.com.tw/products/0010953374
絕叫【日本推理四大獎、現象級小說經典復活！】,,圓神 訂閱出版社新書快訊 新功能介紹,2025/12/01,9789861339986,有電子書,https://www.books.com.tw/products/0011037830
特殊傳說Ⅲ vol.11,護玄,蓋亞 訂閱出版社新書快訊 新功能介紹,2026/02/04,9786263842762,有電子書,https://www.books.com.tw/products/0011044230
地縛少年花子君 (首刷限定版) 25,あいだいろ,東立 訂閱出版社新書快訊 新功能介紹,2026/03/05,9786260266295,無電子書,https://www.books.com.tw/products/0011043883
被討厭的勇氣：自我啟發之父「阿德勒」的教導,,究竟 訂閱出版社新書快訊 新功能介紹,2014/10/30,9789861371955,有電子書,https://www.books.com.tw/products/0010653153
邏輯投資：散戶贏過大盤的機會,邏輯投資（劉冠宏）,天下文化 訂閱出版社新書快訊 新功能介紹,2026/02/26,9786264177597,有電子書,https://www.books.com.tw/products/0011045606
金田一37歲之事件簿 17,天樹 征丸 ／佐藤文也,東立 訂閱出版社新書快訊 新功能介紹,2026/02/09,9786260241032,無電子書,https://www.books.com.tw/products/0011043886
滿洲鴉片小隊(16),門馬司,尖端 訂閱出版社新書快訊 新功能介紹,2026/02/10,9786264347433,有電子書,https://www.books.com.tw/products/0011044738
致富心態（全球暢銷千萬增訂版）：關於財富、貪婪與幸福的20堂理財課,Morgan Housel,天下文化 訂閱出版社新書快訊 新功能介紹,2026/02/03,9786264177917,有電子書,https://www.books.com.tw/products/0011043967
情緒大飯店,,小典藏出版 訂閱出版社新書快訊 新功能介紹,2024/04/03,9786267430033,無電子書,https://www.books.com.tw/products/0010985365
惡靈剋星 3 (首刷限定版),新翔子,東立 訂閱出版社新書快訊 新功能介紹,2025/06/13,9786260247140,有電子書,https://www.books.com.tw/products/0011020795
活出你的本來面目：獻給現代人的榮格心靈指南：在有限的人生裡，活出此生的真正意義,,三采 訂閱出版社新書快訊 新功能介紹,2025/11/01,9786263587854,有電子書,https://www.books.com.tw/products/0011034931
讀懂古人的痛，就能跳過現代的坑：史上最潮的國學經典,,圓神 訂閱出版社新書快訊 新功能介紹,2024/08/01,9789861339320,有電子書,https://www.books.com.tw/products/0010995791
從破產人生逆襲到財務自由：你一定要懂的財商真相，36個翻轉心法把人生找回來,Vincent Lee,時報出版 訂閱出版社新書快訊 新功能介紹,2026/02/10,9786264442312,有電子書,https://www.books.com.tw/products/0011044006
全新制20次多益滿分的怪物講師TOEIC多益單字+文法【隨身版】(附文法教學影片+「Youtor App」內含VRP虛擬點讀筆+防水書套),怪物講師教學團隊（台灣）,不求人文化 訂閱出版社新書快訊 新功能介紹,2022/07/27,9786269559916,無電子書,https://www.books.com.tw/products/0010931739
惡靈剋星 1 (首刷限定版),新翔子,東立 訂閱出版社新書快訊 新功能介紹,2025/03/06,9786260234478,有電子書,https://www.books.com.tw/products/0011010797
與妳相戀到生命盡頭 8(首刷限定版),あおのなち,東立 訂閱出版社新書快訊 新功能介紹,2025/12/12,9786260262754,有電子書,https://www.books.com.tw/products/0011037310
轉型正義之路：島嶼的過去與未來 二○二二年增訂版,周婉窈,玉山社 訂閱出版社新書快訊 新功能介紹,2022/12/12,9789862943359,無電子書,https://www.books.com.tw/products/0010944069
骷髏13(002),齊藤隆夫,尖端 訂閱出版社新書快訊 新功能介紹,2026/02/12,9786264348119,有電子書,https://www.books.com.tw/products/0011044745
區判：品味與美學的知識漫畫,Pierre Bourdieu,衛城出版 訂閱出版社新書快訊 新功能介紹,2025/01/02,9786267645017,有電子書,https://www.books.com.tw/products/0011009285
惡靈剋星 2 (首刷限定版),新翔子,東立 訂閱出版社新書快訊 新功能介紹,2025/04/01,9786260244835,有電子書,https://www.books.com.tw/products/0011016568
平野與鍵浦 (5),春園ショウ,台灣角川 訂閱出版社新書快訊 新功能介紹,2026/02/05,9786264450003,有電子書,https://www.books.com.tw/products/0011038483
幼兒園教保活動課程 幼兒學習評量手冊,廖鳳瑞,教育部國民及學前教育署 訂閱出版社新書快訊 新功能介紹,2024/09/01,9789860559095,無電子書,https://www.books.com.tw/products/0010824541
惡靈剋星 4 (首刷限定版),新翔子,東立 訂閱出版社新書快訊 新功能介紹,2025/07/24,9786260249793,有電子書,https://www.books.com.tw/products/0011023610
FX戰士久留美 (6),炭酸だいすき,台灣角川 訂閱出版社新書快訊 新功能介紹,2026/02/23,9786264451307,有電子書,https://www.books.com.tw/products/0011045252
你的人生，他們六個說了算！：決定你一生的六種物質,,平安文化 訂閱出版社新書快訊 新功能介紹,2024/12/30,9786267650028,有電子書,https://www.books.com.tw/products/0011009311
大家的日本語 初級Ⅰ 改訂版,スリーエーネットワーク,大新書局 訂閱出版社新書快訊 新功能介紹,2024/02/15,9789863210870,無電子書,https://www.books.com.tw/products/0010692529
AI 研究寫作全攻略：NotebookLM × Gemini × ChatGPT × Perplexity,,旗標 訂閱出版社新書快訊 新功能介紹,2026/02/03,9789863128601,無電子書,https://www.books.com.tw/products/0011044193
滑雪場魔法101號,日暮くれ,長鴻出版社 訂閱出版社新書快訊 新功能介紹,2026/03/13,9786264309738,有電子書,https://www.books.com.tw/products/0011046213
十月堂舊書事２,兒島青,台灣角川 訂閱出版社新書快訊 新功能介紹,2026/02/04,9786264359238,有電子書,https://www.books.com.tw/products/0011038578
臺灣歷史圖說,,聯經出版公司 訂閱出版社新書快訊 新功能介紹,2025/10/02,9789570878059,無電子書,https://www.books.com.tw/products/0011033534
失控的焦慮世代：手機餵養的世代，如何面對心理疾病的瘟疫,,網路與書出版 訂閱出版社新書快訊 新功能介紹,2024/11/29,9786267063866,有電子書,https://www.books.com.tw/products/0011006606
擁有過 就好：告別青春的最後一封情書,黃山料,三采 訂閱出版社新書快訊 新功能介紹,2025/12/01,9786263587922,有電子書,https://www.books.com.tw/products/0011036459
SAKAMOTO DAYS 坂本日常 (首刷限定版) 23,鈴木祐斗,東立 訂閱出版社新書快訊 新功能介紹,2026/02/12,9786260264000,無電子書,https://www.books.com.tw/products/0011042682
鏈鋸人 21,藤本樹,東立 訂閱出版社新書快訊 新功能介紹,2026/01/16,9786260257149,無電子書,https://www.books.com.tw/products/0011035312
會員登入,,,,,無電子書,https://www.books.com.tw/products/0011043324
AI超神應用術：Google Gemini × NotebookLM × Nano Banana Pro × Veo × Flow × Gemini Live全解鎖(最強全面升級版)(附3大學習資源：範例素材/提示詞/影音教學),鄧君如 總監製 / 文淵閣工作室 編著,碁峰 訂閱出版社新書快訊 新功能介紹,2026/01/30,9786264252720,無電子書,https://www.books.com.tw/products/0011043898
日文自學ALL IN ONE全攻略【初級】(附100分鐘老師真人教學文法影片+100分鐘單字學習影片+50音筆順練習表+「Youtor App」內含VRP虛擬點讀筆),金子祐己Yumi,懶鬼子英日語 訂閱出版社新書快訊 新功能介紹,2024/06/05,9789864072347,無電子書,https://www.books.com.tw/products/0010991568
SAKAMOTO DAYS 坂本日常 23,鈴木祐斗,東立 訂閱出版社新書快訊 新功能介紹,2026/02/12,9786260259082,無電子書,https://www.books.com.tw/products/0011042681
進烤箱的好日子,,自轉星球文化 訂閱出版社新書快訊 新功能介紹,2024/07/01,9789869202176,有電子書,https://www.books.com.tw/products/0010993694
圖解校務經營竅門,焦熙昌、林志政,五南 訂閱出版社新書快訊 新功能介紹,2026/02/28,9786264421614,無電子書,https://www.books.com.tw/products/0011045967
日本語GOGOGO 2 增訂版,財團法人語言訓練測驗中心,豪風 訂閱出版社新書快訊 新功能介紹,2022/06/29,9786269542123,無電子書,https://www.books.com.tw/products/0010928267
海邊的房間（一輪復刻版）,,時報出版 訂閱出版社新書快訊 新功能介紹,2024/07/30,9786263965126,有電子書,https://www.books.com.tw/products/0010993922
會員登入,,,,,無電子書,https://www.books.com.tw/products/0011046158
