書名,作者,原文作者,譯者,繪者,出版社,出版日期,ISBN,URL
原子習慣：細微改變帶來巨大成就的實證法則,修改,James Clear,James Clear,,方智,2019/6/1,9.78986E+12,https://www.books.com.tw/products/0010822522
請解開故事謎底【2026珍藏特裝組】,修改,,,PP,魔豆文化,2026/2/11,4.7111E+12,https://www.books.com.tw/products/0011044493
難以承受的悸動是戀愛嗎？ 4,修改,,小春日和,,台灣東販,2026/2/25,9.78626E+12,https://www.books.com.tw/products/0011045870
老師不敢教的國學常識：課本外的文壇八卦、黑暗朝堂、追愛火葬場……把古人剝光光，一探赤裸裸的人性真相！,修改,,,,麥田,2026/2/26,9.78627E+12,https://www.books.com.tw/products/0011045496
轉型正義之路：島嶼的過去與未來 二○二二年增訂版,修改,,,,玉山社,2022/12/12,9.78986E+12,https://www.books.com.tw/products/0010944069
SPY×FAMILY 間諜家家酒 16,修改,,陳姿君,,東立,2026/2/12,9.78626E+12,https://www.books.com.tw/products/0011042310
臺灣歷史圖說,修改,,,,聯經出版公司,2025/10/2,9.78957E+12,https://www.books.com.tw/products/0011033534
蛤蟆先生去看心理師（暢銷300萬冊！英國心理諮商經典，附《蛤蟆先生勇氣藏書卡》組）,修改,Robert de Board,Robert de Board,Robert de Board,三采,2022/1/26,9.78958E+12,https://www.books.com.tw/products/0010914794
薰香花朵凛然綻放 (首刷限定版) 16,修改,,羅筱君,,東立,2026/3/2,9.78626E+12,https://www.books.com.tw/products/0011044665
納瓦爾寶典：從白手起家到財務自由， 矽谷傳奇創投家的投資哲學與人生智慧,修改,Eric Jorgenson,Eric Jorgenson,Eric Jorgenson,天下雜誌,2024/1/4,9.78986E+12,https://www.books.com.tw/products/0010977461
明亮燦爛的你【讓比爾蓋茲深深感動的小說！】,修改,Shelby Van Pelt,Shelby Van Pelt,Shelby Van Pelt,寂寞,2024/2/1,9.78627E+12,https://www.books.com.tw/products/0010980263
我們不可能成為戀人！絕對不行。 (※似乎可行？)短篇集 (首刷限定版) 全,修改,,陳柏伸,,東立,2026/2/12,9.78626E+12,https://www.books.com.tw/products/0011042324
鏈鋸人 22,修改,,吳勵誠,,東立,2026/2/6,9.78626E+12,https://www.books.com.tw/products/0011041754
長期買進：財金教授周冠男的42堂自制力投資課,修改,,,,天下文化,2024/7/31,9.78626E+12,https://www.books.com.tw/products/0010996040
葬送的芙莉蓮 15,修改,,里歐貝萊,,東立,2026/1/29,9.78626E+12,https://www.books.com.tw/products/0011041766
金剛經白話講座：放下的人生修行,修改,,,,如果出版社,2025/7/28,9.78627E+12,https://www.books.com.tw/products/0011027110
特殊傳說Ⅲ vol.11,修改,,,紅麟,蓋亞,2026/2/4,9.78626E+12,https://www.books.com.tw/products/0011044230
窮查理的普通常識（紀念典藏版）：巴菲特50年智慧合夥人查理．蒙格的人生哲學,修改,Charles T. Munger,Charles T. Munger,,商業周刊,2024/4/30,9.78627E+12,https://www.books.com.tw/products/0010987407
刪掉容易，忘掉很難,修改,,,,時報出版,2026/1/20,9.78626E+12,https://www.books.com.tw/products/0011041796
底層邏輯：看清這個世界的底牌,修改,,,,時報出版,2022/3/29,9.78626E+12,https://www.books.com.tw/products/0010919211
紀律長贏：揭開清大校務基金操盤人風險控管與穩定獲利的策略,修改,,,,天下文化,2026/1/30,9.78626E+12,https://www.books.com.tw/products/0011042966
學校不會教的人生課：怡慧老師的實踐成長學【親簽，博客來獨家書衣版】,修改,,,,平安文化,2026/3/2,9.78627E+12,https://www.books.com.tw/products/0011045804
簡明 台灣人四百年史：圖文精華版,修改,,,史明,前衛,2017/11/1,9.78958E+12,https://www.books.com.tw/products/0010768686
從破產人生逆襲到財務自由：你一定要懂的財商真相，36個翻轉心法把人生找回來,修改,Vincent Lee,,,時報出版,2026/2/10,9.78626E+12,https://www.books.com.tw/products/0011044006
惡靈剋星 3 (首刷限定版),修改,,羅筱君,,東立,2025/6/13,9.78626E+12,https://www.books.com.tw/products/0011020795
我們不可能成為戀人！絕對不行。 (※似乎可行？)短篇集 全,修改,,陳柏伸,,東立,2026/2/12,9.78626E+12,https://www.books.com.tw/products/0011042323
SAKAMOTO DAYS 坂本日常 (首刷限定版) 24,修改,,陳姿君,,東立,2026/3/2,9.78626E+12,https://www.books.com.tw/products/0011044661
平野與鍵浦 (5),修改,,楊采儒,,台灣角川,2026/2/5,9.78626E+12,https://www.books.com.tw/products/0011038483
惡靈剋星 2 (首刷限定版),修改,,羅筱君,,東立,2025/4/1,9.78626E+12,https://www.books.com.tw/products/0011016568
日本語GOGOGO 1 增訂版,修改,,,,豪風,2021/9/29,9.78986E+12,https://www.books.com.tw/products/0010901320
我可能錯了：森林智者的最後一堂人生課,修改,Björn Natthiko Lindeblad,Björn Natthiko Lindeblad,Björn Natthiko Lindeblad,先覺,2023/2/1,9.78986E+12,https://www.books.com.tw/products/0010947051
區判：品味與美學的知識漫畫,修改,Pierre Bourdieu,Pierre Bourdieu,,衛城出版,2025/1/2,9.78627E+12,https://www.books.com.tw/products/0011009285
惡靈剋星 4 (首刷限定版),修改,,羅筱君,,東立,2025/7/24,9.78626E+12,https://www.books.com.tw/products/0011023610
金田一37歲之事件簿 17,修改,,陳姿君,,東立,2026/2/9,9.78626E+12,https://www.books.com.tw/products/0011043886
幼兒園教保活動課程大綱,修改,,,,教育部國民及學前教育署,2024/9/1,9.78986E+12,https://www.books.com.tw/products/0010780550
博客來,,,,,,,,https://www.books.com.tw/products/0011044252
十月堂舊書事２,修改,,陳思朵,,台灣角川,2026/2/4,9.78626E+12,https://www.books.com.tw/products/0011038578
我寫故我在：寫作文明大接力，人類想像力歷史造就AI世紀,修改,,,,時報出版,2026/2/3,9.78626E+12,https://www.books.com.tw/products/0011043247
戀愛吧，假面天使！ (首刷限定版) 5,修改,,曾怡華,,東立,2026/2/6,9.78626E+12,https://www.books.com.tw/products/0011041763
持續買進：資料科學家的投資終極解答，存錢及致富的實證方法,修改,Nick Maggiulli,Nick Maggiulli,,商業周刊,2023/5/30,9.78627E+12,https://www.books.com.tw/products/0010957881
惡靈剋星 (首刷限定版) 5,修改,,羅筱君,,東立,2026/1/15,9.78626E+12,https://www.books.com.tw/products/0011038935
全新！新制多益 TOEIC 單字大全 ：備考多益唯一推薦權威單字書！不論題型如何變化，內容持續更新，常考字彙表達完全掌握，準確度最高！（附音檔下載QR碼）,修改,,許竹瑩,,國際學村,2022/8/4,9.78986E+12,https://www.books.com.tw/products/0010929979
絕叫【日本推理四大獎、現象級小說經典復活！】,修改,,林佩瑾,,圓神,2025/12/1,9.78986E+12,https://www.books.com.tw/products/0011037830
指數致富：普通人也能複製的長期致富法則,修改,,,,天下文化,2026/2/6,9.78626E+12,https://www.books.com.tw/products/0011044178
漫畫易經【全新書衣版】,修改,,,,晶冠出版社,2024/7/2,9.78627E+12,https://www.books.com.tw/products/0010993426
滿洲鴉片小隊(16),修改,,何宜叡,何宜叡,尖端,2026/2/10,9.78626E+12,https://www.books.com.tw/products/0011044738
請解開故事謎底 05,修改,,,PP,魔豆文化,2026/2/4,9.78627E+12,https://www.books.com.tw/products/0011044225
一個普通人如何守住財富與人生：畢德歐夫帶你搞懂資產配置、老後風險與代間傳承,修改,,,,先覺,2026/3/1,9.78986E+12,https://www.books.com.tw/products/0011045886
活出你的本來面目：獻給現代人的榮格心靈指南：在有限的人生裡，活出此生的真正意義,修改,,,,三采,2025/11/1,9.78626E+12,https://www.books.com.tw/products/0011034931
鏈鋸人 21,修改,,吳勵誠,,東立,2026/1/16,9.78626E+12,https://www.books.com.tw/products/0011035312
職安一點通｜職業安全衛生管理乙級檢定完勝攻略｜2026版(套書),修改,,,,碁峰,2026/2/11,9.78626E+12,https://www.books.com.tw/products/0011044088
非暴力溝通：愛的語言(全新修訂版),修改,,蕭寶森,,光啟文化,2019/8/1,9.78958E+12,https://www.books.com.tw/products/0010831754
颶光典籍五部曲：風與真實（上下冊套書）,修改,Brandon Sanderson,Brandon Sanderson,,奇幻基地,2026/2/11,9.78627E+12,https://www.books.com.tw/products/0011044969
槓桿ETF投資法：用50正2輕鬆打敗0050＆0056，提早退休,修改,,,,一心文化,2023/4/12,9.78627E+12,https://www.books.com.tw/products/0010953374
財商：不費力才會贏,修改,,,,時報出版,2026/1/20,9.78626E+12,https://www.books.com.tw/products/0011041784
博客來,,,,,,,,https://www.books.com.tw/products/0011041168
博客來,,,,,,,,https://www.books.com.tw/products/0011041166
博客來,,,,,,,,https://www.books.com.tw/products/0011041167
AI 研究寫作全攻略：NotebookLM × Gemini × ChatGPT × Perplexity,修改,,,,旗標,2026/2/3,9.78986E+12,https://www.books.com.tw/products/0011044193
青春之箱 (首刷限定版) 22,修改,,方奕勝,,東立,2026/2/24,9.78626E+12,https://www.books.com.tw/products/0011043050
博客來,,,,,,,,https://www.books.com.tw/products/0011045264
小書痴的下剋上 短篇集Ⅲ：為了成為圖書管理員不擇手段！,修改,,許金玉,許金玉,皇冠,2026/2/9,9.78957E+12,https://www.books.com.tw/products/0011045024
SAKAMOTO DAYS 坂本日常 (首刷限定版) 23,修改,,陳姿君,,東立,2026/2/12,9.78626E+12,https://www.books.com.tw/products/0011042682
薰香花朵凛然綻放 (首刷限定版) 15,修改,,羅筱君,,東立,2026/2/2,9.78626E+12,https://www.books.com.tw/products/0011042075
博客來,,,,,,,,https://www.books.com.tw/products/0011042079
零花費上手！Gemini 3 / NotebookLM / Nano Banana Pro / Veo 3.x 最強 AI 組合技，打造全能工作流,修改,,,,旗標,2025/12/15,9.78986E+12,https://www.books.com.tw/products/0011039756
博客來,,,,,,,,https://www.books.com.tw/products/0011044671
張忠謀自傳全集（上下冊）,修改,,,,天下文化,2024/11/29,,https://www.books.com.tw/products/0011005571
難以承受的悸動是戀愛嗎？ 3 首刷限定版,修改,,小春日和,,台灣東販,2026/2/4,4.71445E+12,https://www.books.com.tw/products/0011042967
博客來,,,,,,,,https://www.books.com.tw/products/0011044670
日本語GOGOGO 1 練習帳 增訂版,修改,,,,豪風,2022/3/30,9.78627E+12,https://www.books.com.tw/products/0010920454
骷髏13(002),修改,,洪子喬,,尖端,2026/2/12,9.78626E+12,https://www.books.com.tw/products/0011044745
與妳相戀到生命盡頭 8(首刷限定版),修改,,蔡夢芳,,東立,2025/12/12,9.78626E+12,https://www.books.com.tw/products/0011037310
博客來,,,,,,,,https://www.books.com.tw/products/0011043138
麵包小偷6：麵包小偷和蘋果假面超人,修改,,蘇懿禎,,采實文化,2025/12/25,9.78626E+12,https://www.books.com.tw/products/0011040109
博客來,,,,,,,,https://www.books.com.tw/products/0011042309
情緒大飯店,修改,Lidia Branković,Lidia Branković,Lidia Branković,小典藏出版,2024/4/3,9.78627E+12,https://www.books.com.tw/products/0010985365
惡靈剋星 1 (首刷限定版),修改,,羅筱君,,東立,2025/3/6,9.78626E+12,https://www.books.com.tw/products/0011010797
博客來,,,,,,,,https://www.books.com.tw/products/0011038583
致富心態（全球暢銷千萬增訂版）：關於財富、貪婪與幸福的20堂理財課,修改,Morgan Housel,Morgan Housel,,天下文化,2026/2/3,9.78626E+12,https://www.books.com.tw/products/0011043967
被討厭的勇氣：自我啟發之父「阿德勒」的教導,修改,,葉小燕,,究竟,2014/10/30,9.78986E+12,https://www.books.com.tw/products/0010653153
全新制20次多益滿分的怪物講師TOEIC多益單字+文法【隨身版】(附文法教學影片+「Youtor App」內含VRP虛擬點讀筆+防水書套),修改,,,,不求人文化,2022/7/27,9.78627E+12,https://www.books.com.tw/products/0010931739
學校不會教的人生課：怡慧老師的實踐成長學【博客來獨家書衣版】,修改,,,,平安文化,2026/3/2,9.78627E+12,https://www.books.com.tw/products/0011045803
失控的焦慮世代：手機餵養的世代，如何面對心理疾病的瘟疫,修改,Jonathan Haidt,Jonathan Haidt,,網路與書出版,2024/11/29,9.78627E+12,https://www.books.com.tw/products/0011006606
你的人生，他們六個說了算！：決定你一生的六種物質,修改,,劉維人,,平安文化,2024/12/30,9.78627E+12,https://www.books.com.tw/products/0011009311
